Interprete;Sesso
Gigliola Cinquetti - France Gall;G
Mal - The Showmen;G
Caterina Caselli - Johnny Dorelli;G
Lucio Battisti - Wilson Pickett;G
Orietta Berti - Massimo Ranieri;G
Carmen Villani - Alessandra Casaccia;G
Rita Pavone - Dik Dik;G
Riccardo Del Turco - Antoine;G
Junior Magli - The Casuals;G
Wilma Goich - The Sweet Inspirations;G
Checco - Elio Gandolfi;G
Rosanna Fratello - Brenton Wood;G
New Trolls - Leonardo;G
Robertino - Rocky Roberts;G
Mino Reitano - Claudio Villa;G
Armando Savini - Sonia;G
Gabriella Ferri - Stevie Wonder;G
Memo Remigi - Isabella Iannetti;G
Adriano Celentano - Claudia Mori;G
Nicola Di Bari - Ricchi e Poveri;G
Sergio Endrigo - Iva Zanicchi;G
Ornella Vanoni - Camaleonti;G
Patty Pravo - Little Tony;G
Gigliola Cinquetti - Bobby Solo;G
Rosalino Cellamare - Nada;G
Antoine - Anna Identici;G
Orietta Berti - Mario Tessuto;G
Luciano Tajoli - Mal;G
Gianni Nazzaro - Marisa Sannia;G
Fausto Leali - Carmen Villani;G
Tony Renis - Sergio Leonardi;G
Nino Ferrer - Caterina Caselli;G
Rocky Roberts - Il Supergruppo;G
Rita Pavone - Valeria Mongardini;G
Ragazzi della via Gluck - Paolo Mengoli;G
Pino Donaggio - Sandie Shaw;G
Rosanna Fratello - I Domodossola;G
Donatello - Dik Dik;G
Michele - Lucia Rizzi;G
Emiliana Perina - Gens;G
Renato Rascel - Pio;G
Rossano - Dori Ghezzi;G
Francesco Banti - Dino Drusiani;G
Claudio Villa - Tony Del Monaco;G
Nada - Nicola Di Bari;G
Ricchi e Poveri - José Feliciano;G
Lucio Dalla - Equipe 84;G
Donatello - Marisa Sannia;G
Adriano Celentano - Coro Alpino Milanese;G
Domenico Modugno - Carmen Villani;G
Don Backy - Gianni Nazzaro;G
Al Bano - Aguaviva;G
Gigliola Cinquetti - Ray Conniff;G
Caterina Caselli - Dik Dik;G
Pino Donaggio - Peppino Di Capri;G
Little Tony - Formula 3;G
Sergio Endrigo - New Trolls;G
Sergio Menegale - Wallace Collection;G
Rosanna Fratello - Nino Ferrer;G
Maurizio & Fabrizio - Protagonisti;G
Paolo Mengoli - Mark e Martha;G
I Giganti - Fabio Trioli;G
Jordan e i middle of the road - Gens;G
Edda Ollari - Lorenza Visconti;G
Nomadi - Mal;G
Pio - Mau Cristiani;G
Piero Focaccia - Mungo Jerry;G
Nicola Di Bari;M
Peppino Gagliardi;M
Nada;F
Gianni Morandi;M
Gianni Nazzaro;M
Delirium;G
Marcella Bella;F
Lucio Dalla;M
Gigliola Cinquetti;F
Donatello;M
Ricchi e Poveri;G
Milva;F
Lara Saint Paul;F
Domenico Modugno;M
Rita Pavone;F
Pino Donaggio;M
Aguaviva;G
Anna Identici;F
Michele;M
Carla Bissi;F
Fausto Leali;M
Marisa Sacchetto;F
Delia;F
Angelica;F
Tony Cucchiara;M
Bobby Solo;M
Roberto Carlos;M
I Nuovi Angeli;G
Peppino Di Capri;M
Gilda Giuliani;F
Wess e Dori Ghezzi;G
Roberto Vecchioni;M
Umberto Balsamo;M
Camaleonti;G
Memo Remigi;M
Alessandro;M
Lionello;M
Mocedades;G
Pop Tops;G
Jet;G
Bassano;G
Carmen Amato;F
Sergio Endrigo;M
Lolita;F
Christian De Sica;M
Alberto Feri;M
Junior Magli;M
Le Figlie del Vento;G
Drupi;M
Toni Santagata;M
Iva Zanicchi;F
Orietta Berti;F
Anna Melato;F
Emanuela Cortesi;F
I Domodossola;G
Les Charlots;G
Valentina Greco;F
Mouth & MacNeal;G
Al Bano;M
Mino Reitano;M
Rosanna Fratello;F
Little Tony;M
Middle of the Road;G
Kambiz;M
Donatella Rettore;F
Riccardo Fogli;M
Franco Simone;M
Orchestra Spettacolo Casadei;G
Paola Musiani;F
Antonella Bottazzi;F
Rossella;F
Sonia Gigliola Conti;F
Piero Focaccia;M
Gilda;F
Angela Luce;F
Laura;F
Franco e le Piccole Donne;G
Le Nuove Erbe;G
Nico dei Gabbiani;M
Eugenio Alberti;M
Gianni Migliardi;M
Piero Cotto;M
Stefania;F
Emy Cesaroni;F
Gabriella Sanna;F
Daniela;F
Eva 2000;F
Jean-François Michael;M
Annagloria;F
Antonella Bellan;F
Lorenzo Pilat;M
G.Men;G
Kriss and Saratoga;G
La Quinta Faccia;G
Paola Folzini;F
Goffredo Canarini;M
Le Volpi Blu;G
Leila Selli;F
Nannarella;F
Ely Neri e la sua orchestra;G
Sandro Giacobbe;M
Albatros;G
Paolo Frescura;M
Carlo Gigli;M
Daniel Sentacruz Ensemble;G
Gli Opera;G
La Strana Società;G
Ricchi e Poveri con I Nostri Figli;G
Patrizio Sandrelli;M
Miko;M
Profeti;G
La Nuova Gente;G
Santino Rocchetti;M
Gloriana;F
Antonio Buonomo;M
Leano Morelli;M
Romina Power;F
Maggie Mae;F
Armonium;G
Vanna Leali;F
Umberto Lupi;M
Ezio Maria Picciotta;M
Silvano Vittorio;M
Homo Sapiens;G
Collage;G
I Santo California;G
Umberto Napolitano;M
Daniela Davoli;F
Matia Bazar;G
Anna Oxa;F
Rino Gaetano;M
Ciro Sebastianelli;M
Anselmo Genovese;M
Schola Cantorum;G
Laura Luca;F
Donato Ciletti;M
Roberto Carrino;M
Dora Moroni;F
Marco Ferradini;M
Beans;G
Mino Vergnaghi;M
Enzo Carella;M
I Camaleonti;G
Enrico Beruschi;M
Franco Fanigliulo;M
Lorella Pescerelli;F
Kim & The Cadillacs;G
Pandemonium;G
Antoine;M
Grimm;G
Marinella;F
Ayx;G
Nicoletta Bauce;F
Il Était une Fois;G
Michele Vicino;M
Roberta;F
Massimo Abbate;M
Gianni Mocchetti;M
Toto Cutugno;M
Enzo Malepasso;M
Pupo;M
La Bottega dell'Arte;G
Sally Oldfield;F
